Investment Time	Company Name	Website	Business Area	Round	Investment $	Segment in MS	Azure(Y/N)	Ali(Y/N)	AWS(Y/N)	cloud service they use	url	agent
5-Mar-14	????	https://www.ethealthcare.com.cn	????	A?	?????						https://www.ethealthcare.com.cn	CHINANET shanghai province network
9-Nov-15	????	www.buka.cn	????	B?	1????						http://www.buka.cn	CHINANET Guangdong province network
1-Nov-15	???	www.haituncun.com	????	B?	??????						http://www.haituncun.com	CloudVsp.Inc
22-Oct-15	???????	www.hks360.com	????	C?	??????						http://www.hks360.com	"Aliyun Computing Co., LTD"
14-Oct-15	???	www.liangyihui.net	????	A?	??????						http://www.liangyihui.net	"Aliyun Computing Co., LTD"
16-Sep-15	????	www.zkbymed.com/	????	A?	2500????						http://www.zkbymed.com/	"Aliyun Computing Co., LTD"
15-Sep-15	??????	www.tongxinyilian.com	????	A?	1000???						http://www.tongxinyilian.com	"Aliyun Computing Co., LTD"
31-Aug-15	????SNH48	www.snh48.com	????	B?	????????						http://www.snh48.com	China Unicom HuNan province network
20-Aug-15	59store	www.59store.com/ 	????	B?	2????						http://www.59store.com/ 	"Aliyun Computing Co., LTD"
20-Aug-15	Netis????	www.netis.com/	????	A?	1????						http://www.netis.com/	China Unicom Shanxi Province Network
17-Aug-15	JenaValve Technology	www.jenavalve.com	????	C?	2650???						http://www.jenavalve.com	"virtual hosting services run by SpaceNet AG, Munich"
1-Aug-15	????	www.musikid.com/	????	A?	2000????						http://www.musikid.com/	Beijing Education Information Network
27-Jul-15	???	www.duzhoumo.com	??	A?	2000???						http://www.duzhoumo.com	CHINANET jiangsu province network
27-Jul-15	???	www.meizhouliu.com	??	A?	2000???						http://www.meizhouliu.com	"JinHua MeiDiYa Co.,ltd"
10-Jul-15	????(????)	www.xianda365.cn/	????	A?	??????						http://www.xianda365.cn/	China Unicom Guangdong province network
7-Jul-15	?????	http://www.ziztour.com/	??	A?	1????						http://www.ziztour.com/	"Aliyun Computing Co., LTD"
7-Jul-15	???	www.lancai.cn	??	A?	??????						http://www.lancai.cn	CHINANET henan province network
2-Jul-15	????(????)	www.10101111.com	????	A?	2.5???						http://www.10101111.com	CHEN GUO HUA
30-Jun-15	??	www.ledong100.com/ 	????	Pre-A?	3000????						http://www.ledong100.com/ 	"Aliyun Computing Co., LTD"
19-Jun-15	????-???	http://www.gdtlf.com/gdtlf/request?p=525c4d3b42e6df0f5ff106643830d0d5	??	A?	3000????						http://www.gdtlf.com/gdtlf/request?p=525c4d3b42e6df0f5ff106643830d0d5	CHINANET Guangdong province network
19-Jun-15	????-???	http://www.gdtlf.com/gdtlf/request?p=525c4d3b42e6df0f5ff106643830d0d5	??	A?	3000????						http://www.gdtlf.com/gdtlf/request?p=525c4d3b42e6df0f5ff106643830d0d5	CHINANET Guangdong province network
1-Jun-15	????	http://www.gdtlf.com/gdtlf/request?p=525c4d3b42e6df0f5ff106643830d0d5	??	A?	3000????						http://www.gdtlf.com/gdtlf/request?p=525c4d3b42e6df0f5ff106643830d0d5	CHINANET Guangdong province network
1-Jun-15	????	http://www.gdtlf.com/gdtlf/request?p=525c4d3b42e6df0f5ff106643830d0d5	??	A?	3000????						http://www.gdtlf.com/gdtlf/request?p=525c4d3b42e6df0f5ff106643830d0d5	CHINANET Guangdong province network
10-Jun-15	??SVR Glass	www.whaley-vr.com/	??	A?	1000????						http://www.whaley-vr.com/	"Aliyun Computing Co., LTD"
10-Jun-15	????	www.upbaa.com	??	A?	??????						http://www.upbaa.com	CloudVsp.Inc
7-Jun-15	??????	www.xiu8.com	????	B?	??????						http://www.xiu8.com	ChinaNetCenter Ltd.
4-Jun-15	Iwode????	www.iwode.com	????	B?	1.5????						http://www.iwode.com	"Aliyun Computing Co., LTD"
1-Jun-15	?????	www.tuhu.cn	????	C?	1???						http://www.tuhu.cn	"21ViaNet(China),Inc."
30-Jul-14	?????	www.tuhu.cn	????	B?	?????						http://www.tuhu.cn	"21ViaNet(China),Inc."
27-May-15	????	www.intelige.com	????	A?	??????						http://www.intelige.com	"Beijing Baidu Netcom Science and Technology Co., Ltd."
30-Apr-15	UcPaas?????	www.ucpaas.com/	????	A?	????????						http://www.ucpaas.com/	Future Century Telecom Co.Ltd
