"date","stock_id","Close","High"
"2016-07-25",2330,171.5,173
"2016-07-26",2330,173,173
"2016-07-27",2330,175,176
"2016-07-28",2330,176.5,176.5
"2016-07-29",2330,172.5,177
"2016-08-01",2330,177,177
"2016-08-02",2330,176,177.5
"2016-08-03",2330,172.5,174
"2016-08-04",2330,174.5,174.5
"2016-08-05",2330,177,177.5
